Ag,Al,Au,B,Ba,Be,Bi,C,Ca,Ce,Co,Cr,Cu,Dy,Er,Fe,Ga,Gd,Ge,Hf,Ho,In,Ir,La,Li,Lu,Mg,Mn,Mo,Nb,Nd,Ni,P,Pb,Pd,Pr,Pt,Re,Rh,Ru,Sc,Si,Sm,Sn,Sr,Ta,Tb,Ti,Tm,U,V,W,Y,Yb,Zn,Zr,Load,HV
0,0,0,0.2304,0,0,0,0,0,0,0,0,0,0,0.048,0.6816,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.800000001,1132.644
0,0,0,0.2304,0,0,0,0,0,0,0,0,0,0,0,0.6816,0,0,0,0,0.048,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.800000001,1132.644
0,0,0,0.2304,0,0,0,0,0,0,0,0,0,0.0192,0,0.7104,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.800000001,1132.644
0,0,0,0.2304,0,0,0,0,0,0,0,0,0,0,0,0.6816,0,0.048,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.800000001,1122.44
0,0,0,0.2304,0,0,0,0,0,0,0,0,0,0.0288,0,0.7008,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.800000001,1122.44
0,0,0,0.2304,0,0,0,0,0,0,0,0,0,0.0672,0,0.6624,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.800000001,1112.236
0,0,0,0.2304,0,0,0,0,0,0,0,0,0,0.0576,0,0.672,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.800000001,1112.236
0,0,0,0.2304,0,0,0,0,0,0,0,0,0,0.048,0,0.6816,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.800000001,1112.236
0,0,0,0.2304,0,0,0,0,0,0,0,0,0,0,0,0.6816,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048,0,0,0,0,0,0,0,0,0,9.800000001,1112.236
0,0,0,0.2304,0,0,0,0,0,0,0,0,0,0.0384,0,0.6912,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.800000001,1112.236
0,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.800000001,1112.236
0,0,0,0.192,0,0,0,0,0,0,0,0,0,0,0,0.7008,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0.048,0,0,0,0,0.0192,0,0,0,0,0,0,0,0,0,9.800000001,1112
0,0,0,0.192,0,0,0,0,0,0,0,0,0,0,0,0.6912,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0.048,0,0,0,0,0.0288,0,0,0,0,0,0,0,0,0,9.800000001,1103
0,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0.01,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.800000001,1096.93
0,0,0,0.192,0,0,0,0,0,0,0,0,0,0,0,0.6816,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0.048,0,0,0,0,0.0384,0,0,0,0,0,0,0,0,0,9.800000001,1089
0,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0.03,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.800000001,1086.726
0,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.800000001,1086.726
0,0,0,0.192,0,0,0,0,0,0,0,0,0,0,0,0.672,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0.048,0,0,0,0,0.048,0,0,0,0,0,0,0,0,0,9.800000001,1085
0,0,0,0.23,0,0,0,0,0,0,0,0,0,0.05,0,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.800000001,1081.624
0,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0.69,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.800000001,1081.624
